API,Count,Percentage,Category
"T:Microsoft.Maui.Controls.Image",79,28.5%,Source Incompatible
"T:Microsoft.Maui.Controls.ImageSource",31,11.2%,Source Incompatible
"P:Microsoft.Maui.Controls.Image.Source",31,11.2%,Source Incompatible
"T:Microsoft.Maui.Controls.BindingMode",20,7.2%,Source Incompatible
"T:Microsoft.Maui.Controls.NameScopeExtensions",19,6.9%,Source Incompatible
"M:Microsoft.Maui.Controls.NameScopeExtensions.FindByName<T>(Microsoft.Maui.Controls.Element,System.String)",19,6.9%,Source Incompatible
"T:Microsoft.Maui.Controls.Xaml.Extensions",7,2.5%,Source Incompatible
"T:Microsoft.Maui.Hosting.MauiApp",5,1.8%,Source Incompatible
"M:Microsoft.Maui.Controls.ResourceDictionary.#ctor",4,1.4%,Source Incompatible
"M:Microsoft.Maui.Controls.ContentPage.#ctor",4,1.4%,Source Incompatible
"T:Microsoft.Maui.Hosting.MauiAppBuilder",4,1.4%,Source Incompatible
"F:Microsoft.Maui.Controls.BindingMode.TwoWay",3,1.1%,Source Incompatible
"F:Microsoft.Maui.Controls.BindingMode.OneWayToSource",3,1.1%,Source Incompatible
"M:Microsoft.Maui.Controls.Page.OnAppearing",3,1.1%,Source Incompatible
"T:Microsoft.Maui.Controls.Shell",3,1.1%,Source Incompatible
"T:Microsoft.Maui.Controls.ResourceDictionary",2,0.7%,Source Incompatible
"F:Microsoft.Maui.Controls.BindingMode.Default",2,0.7%,Source Incompatible
"P:Microsoft.Maui.Controls.BindableProperty.DefaultBindingMode",2,0.7%,Source Incompatible
"T:Microsoft.Maui.Controls.IValueConverter",2,0.7%,Source Incompatible
"T:Microsoft.Maui.Controls.ContentPage",2,0.7%,Source Incompatible
"M:Microsoft.Maui.MauiWinUIApplication.#ctor",2,0.7%,Binary Incompatible
"M:Microsoft.Maui.Controls.Shell.#ctor",2,0.7%,Source Incompatible
"T:Microsoft.Maui.Hosting.FontCollectionExtensions",2,0.7%,Source Incompatible
"T:Microsoft.Maui.Hosting.IFontCollection",2,0.7%,Source Incompatible
"M:Microsoft.Maui.Hosting.FontCollectionExtensions.AddFont(Microsoft.Maui.Hosting.IFontCollection,System.String,System.String)",2,0.7%,Source Incompatible
"T:Microsoft.Maui.Controls.Window",2,0.7%,Source Incompatible
"M:Microsoft.Maui.Controls.Application.#ctor",2,0.7%,Source Incompatible
"T:Microsoft.Maui.Controls.BindableProperty",1,0.4%,Source Incompatible
"P:Microsoft.Maui.Controls.Shell.Current",1,0.4%,Source Incompatible
"M:Microsoft.Maui.Controls.Shell.GoToAsync(Microsoft.Maui.Controls.ShellNavigationState)",1,0.4%,Source Incompatible
"T:Microsoft.Maui.Storage.FileSystem",1,0.4%,Source Incompatible
"M:Microsoft.Maui.Storage.FileSystem.OpenAppPackageFileAsync(System.String)",1,0.4%,Source Incompatible
"T:System.Uri",1,0.4%,Behavioral Change
"M:System.Uri.#ctor(System.String)",1,0.4%,Behavioral Change
"T:Microsoft.Maui.MauiWinUIApplication",1,0.4%,Binary Incompatible
"M:Microsoft.Maui.Hosting.MauiAppBuilder.Build",1,0.4%,Source Incompatible
"P:Microsoft.Maui.Hosting.MauiAppBuilder.Logging",1,0.4%,Source Incompatible
"T:Microsoft.Maui.Controls.Hosting.AppHostBuilderExtensions",1,0.4%,Source Incompatible
"M:Microsoft.Maui.Controls.Hosting.AppHostBuilderExtensions.UseMauiApp<T>(Microsoft.Maui.Hosting.MauiAppBuilder)",1,0.4%,Source Incompatible
"T:Microsoft.Maui.Hosting.FontsMauiAppBuilderExtensions",1,0.4%,Source Incompatible
"M:Microsoft.Maui.Hosting.FontsMauiAppBuilderExtensions.ConfigureFonts(Microsoft.Maui.Hosting.MauiAppBuilder,System.Action{Microsoft.Maui.Hosting.IFontCollection})",1,0.4%,Source Incompatible
"M:Microsoft.Maui.Hosting.MauiApp.CreateBuilder(System.Boolean)",1,0.4%,Source Incompatible
"T:Microsoft.Maui.IActivationState",1,0.4%,Source Incompatible
"M:Microsoft.Maui.Controls.Window.#ctor(Microsoft.Maui.Controls.Page)",1,0.4%,Source Incompatible
"T:Microsoft.Maui.Controls.Application",1,0.4%,Source Incompatible
